class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,42,?,0,?,0,0,0,0,0,0,4950,2690,6238,500,0,0,5694,0,0,0,0,0,11852,8620,6644,1032,0,0,0,0,0,0,0,0,0,0,0,0,12980,0,1398,0,1510,24,22,22,1290,9606,1904,0,0,0,10942,1824,480,384,322,406,20,0,0,0,18518,0,4,0,4,5694,352,2790,3842,?,?,?,?,?,?,?,?,6440,42.37,18518,18518,22198,26,816,1676,18260,14378,1209600,0,?,?,?,7424.64,0,5472.96,0,0,0,0,0,5698,3756,3736,950,188,50,0,?,0,18518,?,1578,20,34,666,1152,3026,6736,1166,0,0,?,?,?,?,?,?,?,?,?,126,26,0,0,0,0,0,0,0,0,220,0,0,0,0,494,102,15200,2270,0,0,0,0,0,82,60,8054,5030,1052,134,44,36,28,0,0,0,0,0
neg,39808,?,812,724,0,0,0,0,0,0,142,65404,1738886,549908,27918,1484,974364,0,0,0,0,0,2151908,1904524,333552,210902,0,0,0,0,126,40,0,0,0,0,0,107446,987350,1012292,276654,0,1888,296,526,19002,1972672,389348,10,0,0,0,658174,659540,240004,197616,161070,126352,175386,165600,0,0,2485732,42,38,254,10,974364,23864,180740,151480,148300,162640,?,?,?,?,?,?,18800,39808.93,2485732,2485732,2479878,16083.0,1920,4324,62420,2383742,1209600,69376,2,88,0,2082862.08,0,298487.04,0,0,0,0,0,6712,589732,1514136,251476,17986,3520,180,52,58,2485732,?,3726,434,102824,131050,97698,1550060,489572,8288,90,0,1328,128,2085312,52550,0,986,0,14,2102184,1262,156,0,0,0,0,0,0,0,0,13378,34804,14744,0,0,59240,12066,6357860,647622,0,0,0,0,311780,726.04,792,313108,314144,266428,153514,328576,321302,232038,162334,268718,23580,0,0
neg,31614,?,2114,1846,0,0,0,0,0,0,280,13466,1242130,681924,41924,3708,1061314,12670,250,0,0,0,1601234,1239890,588834,322338,0,0,0,0,2924,408,0,0,0,0,0,168,624134,1355530,3600,0,6512,3134,4182,304452,1561818,103332,2,0,0,0,638238,438488,223160,155730,112526,83610,85740,245818,122,0,2190352,42,88,204,0,1061314,45904,285982,300728,390960,?,?,?,?,?,?,?,194280,31614,2190352,2190352,2189086,14760,340,93692,977360,1983432,1209600,57726,0,76,0,1763118.72,0,215491.2,0,0,0,0,0,1504,332632,1028294,586880,28562,5104,456,380,400,2190352,?,6336,336,19838,113712,87036,1195424,554228,6410,112,0,3466,1120,1750192,53606,62,27694,0,0,1777514,1222,212,0,0,0,0,0,0,0,0,30454,15920,2706,0,0,49294,12264,26760,9790,0,0,0,0,1614030,757.18,792,224984,416818,231702,97230,214936,197792,202212,176196,203940,17622,0,0
pos,752474,?,0,?,0,0,0,0,0,15616,2659124,23676894,20802878,2167414,9194,0,23721914,0,0,0,27642,49876,42983800,36668320,12552176,5159612,0,0,0,0,0,0,0,0,0,0,0,8286424,31713578,9283944,47174,0,751220,484608,505498,406466,11491138,35310168,381958,58,6,0,21139784,5064340,3775202,3051988,2704378,3101716,4596272,4939528,949214,8698,55576254,270,322,1670,396,23721914,757642,8832816,3685498,300380,358160,365440,334420,316620,345320,351140,285580,224940,752474.23,55576254,55576254,54611226,365541.0,7226954,12240,1007520,49331120,1209600,0,?,?,?,45901663.68,0,3372232.32,0,0,0,796,409038,10454504,25055518,11967850,1248978,163162,30680,594,?,0,55576254,?,42088,11414,1426356,1630692,5469606,37541146,3153880,55938,0,0,?,?,?,?,?,?,?,?,?,39694,672,0,0,0,0,0,0,0,0,483884,1067390,188350,0,0,2068290,283316,85597600,18901218,0,0,0,0,547176920,21375.1,29862,3542146,11628814,8565688,4384946,8510490,5283656,3272658,1738898,2345830,57994,0,0
neg,726,?,?,?,0,0,0,0,0,0,138,0,15098,37856,196,0,15982,0,0,?,0,0,51498,44250,16710,4318,?,0,0,0,0,0,0,0,0,0,0,0,33512,18562,1214,0,1410,246,540,1012,25136,24944,0,0,0,0,36864,12244,3036,482,108,56,92,406,0,0,68218,?,?,6,4,15982,670,6446,10220,0,0,0,0,0,0,0,0,16440,725.97,68218,68218,?,158,?,?,67920,?,1209600,0,?,?,?,?,?,?,?,?,0,0,0,0,8170,42396,2118,530,74,0,?,?,68218,?,1252,18,1140,6002,2560,35038,6444,834,0,0,?,?,?,?,?,?,?,?,?,218,?,?,?,?,?,?,?,?,?,428,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10018,10542,2306,1246,6238,22858,80,0,0,0,?,?
neg,30652,?,482,432,0,0,0,0,0,0,596,140318,1503798,415910,18708,1248,870920,0,0,0,0,0,1829516,1541128,381556,227366,0,0,360,0,746,232,0,0,0,0,0,6190,518734,1458258,97396,0,2050,878,2584,35092,1415626,624274,74,0,0,0,708176,505532,223518,160668,123530,100716,143208,115230,0,0,2211650,22,14,218,24,870920,26496,183024,195460,229160,?,?,?,?,?,?,?,145900,30652.45,2211650,2211650,2197596,13394,900,95294,994860,2080578,1209600,60664,2,52,0,1899440.64,0,178999.68,0,0,0,0,0,25474,561188,1189102,286060,14822,3734,198,0,6,2211650,?,4102,664,11228,99228,81192,1411590,456420,15734,420,0,738,674,1462216,95466,0,1920,0,36,1918030,1704,282,0,0,0,0,0,0,0,0,16368,17736,3022,0,0,54362,7704,2074420,209266,0,0,0,0,652460,1058.64,1448,195870,484264,291940,165866,429568,266418,120376,58026,66676,1574,0,0
neg,1186,?,154,136,0,0,0,0,0,0,160,26860,48846,96,0,0,31262,0,0,0,0,0,75608,67542,16352,4674,0,0,0,0,78,72,0,0,0,0,0,1976,54972,4276,14738,0,150,34,50,70,34882,40770,6,0,0,0,31256,31178,9214,3190,998,104,22,0,0,0,92008,8,374,204,0,31262,836,9264,7040,?,?,?,?,?,?,?,?,15960,1185.2,92008,92008,93510,271.0,180,8972,91560,75962,1209600,1974,2,4,0,67176.96,0,8666.88,0,0,0,0,0,606,61124,13730,388,88,26,0,0,6,92008,?,254,18,1718,1978,2044,28810,39284,1838,18,0,176,226,27374,41450,0,868,0,16,68184,118,38,0,0,0,0,0,0,0,0,522,138,126,0,0,1132,242,996740,99752,0,0,0,0,185220,77.74,88,9960,14642,3332,1308,4442,39614,2398,260,6,0,0,0
neg,10588,?,0,?,0,0,0,0,734,21548,117908,457042,134228,1952,0,0,297556,0,0,0,8584,10662,729196,714030,57272,13586,0,0,0,0,0,0,35736,15698,10056,17278,5588,79350,183192,166882,219632,0,2696,122,162,354,72562,637310,20200,4,2,0,251302,378022,68884,24294,6848,2316,1522,224,0,0,795138,200,18,1018,62,297556,3732,27024,30108,?,?,?,?,?,?,?,?,56300,10588.2,795138,795138,793006,2603.0,34148,78944,793940,733412,1209600,0,?,?,?,662912.64,0,67389.12,0,0,0,4830,72434,353504,249632,49172,2766,910,164,0,?,18,795138,?,2790,102,33626,75106,21482,305482,289116,5376,332,0,?,?,?,?,?,?,?,?,?,626,66,0,0,0,0,0,0,0,0,1774,1412,356,0,0,8026,1482,3298220,340592,0,4312,0,0,9588320,605.2,266,71830,51370,289744,238640,63870,10982,3850,1816,1310,0,0,0
neg,40538,?,0,?,0,0,0,0,0,0,6668,733200,1831120,181228,5366,0,1465498,0,0,0,0,0,2303796,1827540,834140,400196,0,0,0,0,0,0,0,0,0,0,0,32786,1797372,763854,163570,0,2666,1074,1892,2572,131466,2617842,66,4,0,0,1053930,695542,218750,154968,133276,414224,86892,0,0,0,3138692,732,6544,3392,310,1465498,60650,487206,344402,305680,310900,?,?,?,?,?,?,211000,40538.35,3138692,3138692,3127504,16278,1098240,65716,712280,2757582,1209600,0,?,?,?,2320332.48,0,430469.76,4,504,0,0,0,150394,1317362,1169820,107166,10470,2284,86,?,0,3138692,?,4476,508,3250,275298,158100,703206,1559006,53268,470,0,?,?,?,?,?,?,?,?,?,3126,144,0,0,0,0,0,0,0,0,34528,36372,6658,0,0,118412,20536,2028060,1028680,0,0,0,0,538360,1360,1520,461026,512670,342990,168292,316032,259450,251940,189148,255662,372,0,0
neg,2306,?,130,104,0,0,0,0,0,0,156,64454,67976,5126,0,0,62688,0,0,0,0,0,131350,118356,412598,7762,0,0,0,0,86,104,0,0,0,0,0,3662,75902,5848,52296,0,120,272,258,70,2766,131242,2980,0,0,0,52292,68008,12432,4164,586,174,46,6,0,0,544076,78,362,312,0,62688,1380,401654,10614,?,?,?,?,?,?,?,?,412140,2305.6,544076,544076,192854,437.0,244,54054,543360,137728,1209600,3100,4,2,0,123528.96,4.8,14016,0,0,0,0,0,37326,67556,31848,706,238,34,0,2,8,544076,?,276,26,84,7294,4020,30584,91774,3542,108,0,186,364,124140,74340,0,14,0,40,124838,146,44,0,0,0,6,0,0,0,0,856,460,158,0,0,2360,584,2700,396,0,0,0,0,1278910,90.38,98,15534,17370,9034,5964,15110,73698,900,82,18,0,0,0
pos,784570,?,?,?,0,0,0,0,0,922,1146568,18977132,22033252,2953170,6798,0,17538096,87368,0,?,10858,16358,39109550,35018182,8591814,3337982,0,0,0,0,0,0,0,0,0,0,0,940352,22562112,8745236,12870142,0,38620,23296,44222,82160,10880450,33954166,94414,358,86,70,14693622,11181798,4384348,3163724,2457172,2203098,3290784,3464222,277682,1392,47717468,3334,6112,7750,4114,17538096,444044,4341140,4240092,276000,244120,284100,227380,263120,247960,246020,252140,163440,784570.91,47717468,47717468,47197520,290297.0,1795904,?,461200,45117842,1209600,0,?,?,?,40114826.88,0,4944055.68,?,?,0,0,118186,7613422,24081344,11809308,1255442,182584,51130,6426,?,0,47717468,?,35588,6768,3124612,1988188,4833334,32916580,2178590,34182,0,0,?,?,?,?,?,?,?,?,?,26600,2456,?,?,?,?,?,?,?,?,235848,615296,171356,0,0,1312182,220824,42602720,10482140,0,0,0,0,?,?,?,5256994,5697282,4288142,2340514,5928992,6658290,5671646,3344846,5523020,408116,0,0
pos,341002,?,2124,?,0,0,3718,26274,743874,4549076,7559502,6876844,1798032,74780,2334,0,?,?,?,?,?,?,?,?,?,?,64,?,?,?,7860,3350,0,0,0,0,0,6382,280594,9533842,11812854,762,36846,24140,33638,72292,1639978,19827258,260,22,0,0,4853736,6934130,3732282,2248004,1192766,792880,610608,540616,306396,423016,?,2938,4600,8314,186,?,?,?,?,?,?,?,?,?,?,?,?,?,341001.83,?,?,22298346,136469.0,354382,?,?,21634434,1209600,0,?,?,?,16929912,56186.88,4631060.16,?,?,163562,2926998,5745448,7131434,4453814,1072620,117352,21330,1860,16,?,0,?,?,14702,2318,1851874,2742622,6303836,10692192,26890,0,0,0,?,?,?,?,?,?,?,?,?,12984,820,?,?,?,?,?,?,?,?,?,133300,33612,18563456,6340450,642266,110418,26720980,3568064,3819464,38272,0,0,?,?,?,4761778,1858334,1511944,931770,2288784,2443958,2932786,4762000,142084,996,0,0
neg,41204,0,110,92,0,0,0,0,0,266952,790836,1517566,519984,55384,6078,138,1697132,0,0,0,102998,141308,3368226,3215980,1610632,141796,0,0,0,0,194,346,0,0,0,0,0,0,30780,1444244,1681914,0,9694,5340,8026,13390,14610,879332,1972092,181440,73012,2,1224552,640722,372788,248066,171698,187584,183244,114974,12668,642,5082682,344,1414,1360,4,1697132,33634,1393150,216572,420620,434180,411880,284020,?,?,?,?,52560,41204.73,5082682,5082682,5041500,12194,10030,18956,236120,3161996,1209600,127842,0,128,0,2491171.2,0,663960.96,178,2046,0,7506,111526,400286,923438,1040460,495442,150882,24688,2710,1698,1728,5082682,0,10028,1040,1490,333374,360578,1205446,1238300,6682,0,0,96,472,2423086,589478,0,108722,0,0,2540508,5022,1362,0,0,0,0,0,0,0,0,17998,8750,1350,0,0,124430,21406,43800,20960,0,0,0,0,1524120,3451.3,2882,700560,529304,452964,158288,290602,206062,330736,475610,12812,0,0,0
pos,240828,?,0,?,0,0,0,0,0,308,679912,5691296,7353522,1182850,14546,8,7451734,0,56,?,4908,7302,13279798,11574536,2175520,1392810,0,0,0,0,0,0,0,0,0,0,0,178370,5948254,7013632,1782186,0,22118,12302,15876,27450,8945090,5898166,1434,2,4,0,5435502,2333016,1223536,846596,663876,835738,1802826,1622374,155640,3338,15463332,63964,42772,16154,222,7451734,201096,1335622,833024,154500,160620,160480,132960,127920,130600,210280,191740,135260,240827.81,15463332,15463332,15239416,114753.0,981478,?,908340,14922442,1209600,0,?,?,?,14421247.68,0,482527.68,?,?,0,0,93412,2579214,6889816,4546626,577692,163442,65644,6596,?,0,15463332,?,15174,2778,302030,333272,513960,11544010,2139614,71518,86,0,?,?,?,?,?,?,?,?,?,8002,406,?,?,?,?,?,?,?,?,119088,278472,54926,0,0,813570,107508,32303340,4827348,0,0,0,0,?,?,?,551904,2825144,2440888,1342966,4227776,3495074,38258,330,98,4,0,0
neg,10504,0,72,?,0,0,0,0,0,244,249642,893304,325524,3590,0,0,574990,0,0,0,14050,22082,1315000,1175454,200036,123916,0,0,0,0,0,0,0,0,0,0,0,0,19146,334956,1118202,0,3290,412,154,158,266,5948,1450942,11134,0,0,934944,300380,98888,49312,29040,18778,15578,12672,6674,6038,1529626,146,48,544,0,574990,23790,58280,140984,156820,?,?,?,?,?,?,?,38580,10503.09,1529626,1529626,1513356,3954,504,29888,314900,1473806,1209600,0,?,?,?,896129.28,36766.08,537638.4,2,148,0,0,56756,293182,672260,339358,91238,18534,948,28,?,32,1529626,0,4472,480,350076,263128,105056,523818,214176,11048,50,0,?,?,?,?,?,?,?,?,?,3438,104,0,0,2010,38250,0,0,0,0,10500,1944,398,0,0,52926,8278,4176940,432354,0,0,0,0,633700,967.74,1114,596296,392730,189460,79264,156574,3704,7528,46154,594,0,0,0
neg,49624,?,256,160,0,0,0,0,0,0,97500,1627758,1673140,152974,7860,0,1638914,0,0,0,592,1196,3126470,2587184,828314,402676,0,0,0,0,648,312,0,0,0,0,0,77362,2128472,225744,1127654,0,5646,1432,2188,72502,2329464,1146140,1860,0,0,0,1445174,713628,258318,175932,160886,325630,478968,696,0,0,3957084,244,688,3284,4,1638914,57376,456692,369514,224760,220860,320820,?,?,?,?,?,47720,49624.93,3957084,3957084,3930088,21706,21598,22368,312160,3559232,1209600,146068,0,234,0,3017074.56,0,535672.32,0,0,0,0,10188,420430,1876546,1084872,143318,19846,3856,176,588,600,3957084,?,11120,1464,62038,271738,149264,1646848,1370136,46290,334,0,438,892,2871060,93394,910,152470,0,0,3052588,5314,748,0,0,0,0,0,0,0,0,32344,87702,13014,0,0,144482,23864,69000,70094,0,0,0,0,2806710,2936.52,3304,578102,792670,528910,242448,431136,320560,213048,144328,284004,24026,0,0
neg,1888,0,16,14,0,0,0,0,0,0,60,115920,18342,0,0,0,58090,0,0,0,0,0,138760,121318,67882,6452,0,0,0,0,10,12,0,0,0,0,0,0,0,29266,105056,0,2594,294,266,310,508,130350,0,0,0,0,78874,34912,10206,4340,3086,1522,758,410,182,32,206778,18,66,226,2,58090,1752,52078,15522,?,?,?,?,?,?,?,?,66800,1887.56,206778,206778,207462,523.0,0,20002,205520,134534,1209600,2954,0,14,0,96767.04,13992,21774.72,0,112,0,0,0,16448,56198,42248,19296,88,42,2,8,32,206778,0,2300,100,476,7116,9124,25530,84278,5310,88,0,34,18,97208,50264,0,14,0,0,99282,242,116,10,14574,0,0,0,0,0,0,1328,194,44,0,0,2254,456,1660,184,0,0,0,0,887550,269.08,222,38566,14222,9050,3872,9330,11336,24648,23144,154,0,0,0
neg,2,?,4,2,0,0,0,0,0,0,50,2094,2814,0,0,0,1526,0,0,0,0,0,10232,9274,2906,174,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4958,0,960,16,30,32,286,3634,0,0,0,0,3930,340,62,196,18,14,58,302,22,16,13148,0,0,2,0,1526,104,1972,924,1310700,1310700,1310700,1310700,1310700,1310700,1310700,1310700,2880,1.02,13148,13148,17906,14,0,1262,13060,4958,1209600,210,0,2,0,1342.08,0,2682.24,?,?,0,0,0,1382,2602,630,344,0,0,0,4,10,13148,?,944,10,14,12,182,832,2710,252,2,0,2,8,1328,110,0,0,0,0,1568,30,40,0,0,0,0,0,0,0,0,86,0,0,568,90,58,20,0,0,2336,16,0,0,0,?,?,3710,1108,112,6,10,6,6,0,0,0,0,0
pos,312724,0,1702,1506,0,0,0,2462,312426,3453906,8969682,7908650,2165718,185852,10060,0,9750690,31888,54,0,1359644,2060856,17754526,15934618,6161258,2387690,26,0,0,0,8772,2810,0,0,0,0,0,0,2466,3039222,19950286,16782,101512,46168,38758,44736,75644,17230226,2156912,3314778,22,0,8075216,5228022,3011706,1848146,1154816,759374,568160,469674,250174,1643468,25285292,22944,17542,22322,6,9750690,345246,2576032,3570362,336280,305760,266700,314840,298960,315480,307940,304360,246520,312724.7,25285292,25285292,24801024,122343.0,1138,56850,1017320,23028446,1209600,860602,4,814,0,18859310.4,0,4140441.6,2882,7824,59638,641840,2464702,3425520,5767276,4045618,3060116,2863264,633272,47510,3460,3632,25285292,0,60130,8454,2097446,1933512,1747588,11159242,5826028,175178,1176,2,3726,6790,18627692,7638736,0,37972,0,0,19105942,37348,14356,0,0,0,0,0,0,0,0,232958,107054,20170,0,0,986106,150228,38560,15064,0,0,0,0,57851530,17417.54,17126,4333758,4957140,2450474,910134,2178956,3907894,2600068,1650210,20122,0,0,0
neg,14,?,24,10,0,0,0,0,0,0,5700,7848,1384,0,0,0,5508,0,0,0,264,480,17212,13930,17276,616,0,0,0,0,24,10,0,0,0,0,0,0,0,0,14932,0,1510,24,26,46,142,13184,0,0,0,0,13190,854,88,228,14,76,56,426,0,0,34794,0,0,0,0,5508,290,13182,4044,1310700,1310700,1310700,1310700,1310700,1310700,1310700,1310700,17020,13.39,34794,34794,40738,26,0,3272,34560,14932,1209600,414,0,6,0,3025.92,0,10449.6,?,?,0,0,1516,11520,1622,274,0,0,0,0,0,6,34794,?,1462,10,26,28,58,4976,7978,390,4,0,12,24,2572,0,0,2,0,0,3734,104,104,0,0,0,0,0,0,0,0,218,0,0,848,164,122,30,680,68,18932,32,0,0,0,?,?,12284,2478,108,40,8,8,4,2,0,0,0,0
neg,41072,?,442,0,0,0,0,0,0,0,460,245558,2005380,632652,50256,3514,1263496,0,0,0,0,0,2443446,1954310,644160,428602,0,0,0,0,1402,424,0,0,0,0,0,63684,1159788,1538450,175898,0,13754,10438,8404,96098,2000418,807326,1382,0,0,0,1004970,796606,264264,176910,132124,106954,142898,313048,46,0,3088080,30,46,800,24,1263496,40512,289088,349316,221600,289240,?,?,?,?,?,?,126840,41071.68,3088080,3088080,3078824,18406,1682,62236,662600,2937820,1209600,91844,0,0,0,2496072.96,0,439781.76,0,0,0,0,0,42522,729128,1673094,466304,22518,3818,436,0,900,3088080,?,4118,498,60098,241380,180046,2051120,386544,13722,294,0,0,0,0,0,0,0,0,0,0,2156,254,0,0,0,0,0,0,0,0,23724,30058,5300,0,0,87562,18044,85660,16100,0,0,0,0,1658240,1181.38,1194,462076,623914,416432,212926,431906,339150,184078,107130,147548,12660,0,0
neg,41004,0,88,78,180,394,0,0,0,75848,1504702,653978,38734,2846,136,0,992566,0,0,0,78066,110188,2085440,1969994,545614,124032,0,0,0,0,94,208,0,0,0,0,0,0,30804,1215476,1029964,0,1512,466,868,2166,1568,1654104,590278,25282,0,0,1121004,381598,185754,121918,97424,74846,58832,46900,23300,164668,2709758,1682,78,340,2,992566,20310,394314,149718,245660,250060,?,?,?,?,?,?,44460,41004.48,2709758,2709758,2681992,12343.0,180,25386,284620,2277634,1209600,44446,4,82,0,2023562.88,0,251128.32,0,496,0,408,122362,250854,756874,687488,272708,169802,15586,162,10,12,2709758,0,4060,512,79314,120526,79608,1812924,169038,10208,54,0,84,314,2039192,1237822,0,360,0,0,2041300,1766,170,0,0,0,0,0,0,0,0,12688,10998,3212,2980232,385104,37718,5986,12186800,1219404,2658132,4868,0,2,1004510,1263.26,1126,262594,224404,126304,83274,143206,149606,1136952,143648,6248,8,0,4
pos,260878,?,2512,2298,0,0,0,4836,203622,2048266,7213678,7248460,2976286,522398,13274,0,?,?,?,?,?,?,?,?,?,?,14,?,?,?,2634,418,0,0,0,0,0,0,26874,4242130,15961342,474,16400,22928,121654,234844,1820414,18014578,2,0,0,0,6707632,4473292,2542258,2251176,1547174,883350,511416,477622,550066,286834,?,5682,10314,3272,8,?,?,?,?,?,?,?,?,?,?,?,?,?,260878.14,?,?,20495414,133645.0,184,?,?,20230820,?,575082,142,1072,0,14088523.2,3301236.48,2825976.96,1448,3664,7826,464240,3444786,8264248,5968538,1997046,77414,6080,642,0,40,44,?,?,6238,1102,4586804,1549860,6328434,7738206,20176,0,0,0,5304,570,13852952,6114218,0,1842,0,0,14729556,29176,364,2401170,4206680,0,0,0,0,0,0,?,39076,9314,0,0,554814,79470,31200,4584,0,0,0,0,4984760,2151.82,2614,6374728,2870192,1065668,372200,819702,1430134,3844914,3442072,11210,0,0,0
neg,28466,?,898,830,0,0,0,0,0,0,1506,215348,1500420,518732,35820,460,995726,23814,0,0,0,0,1861702,1466070,666536,328088,0,0,0,0,3044,568,0,0,0,0,0,18132,1255286,895162,103706,0,2996,1002,1454,172210,1744722,349874,28,0,0,0,827006,477848,172762,136480,124456,117082,178508,237872,272,0,2528832,246,180,366,28,995726,25202,271298,389900,335260,295520,?,?,?,?,?,?,26600,28466.21,2528832,2528832,2495200,15787.0,4672,3410,101700,2272286,1209600,68778,2,146,0,1820277.12,0,449108.16,0,0,0,0,0,24070,523414,1346936,355316,17926,4270,354,14,20,2528832,?,5402,582,29366,173182,112920,1043880,864496,42170,288,0,1274,1496,1734130,55322,0,896,0,6,1870664,2228,334,0,0,0,0,0,0,0,0,18596,39424,10494,0,0,32124,4340,7527220,825764,2293288,6304,0,0,311500,1255.8,1344,467712,467178,375676,196396,333898,237606,115040,53250,25466,64,0,0
neg,14,?,2,2,0,0,0,0,0,0,46,5210,4470,0,0,0,3216,0,44,0,0,0,15800,14310,5772,46,0,0,0,0,16,38,0,0,0,0,0,0,0,2640,7086,0,864,14,14,14,126,8694,0,0,0,0,8494,386,112,288,34,28,70,74,204,36,21588,2,0,0,0,3216,148,4352,1408,?,?,?,?,?,?,?,?,5640,13.91,21588,21588,22580,22,4,2062,21420,9726,1209600,220,0,0,0,1989.12,34.56,6884.16,?,?,0,0,0,4854,4096,456,320,0,0,0,6,10,21588,?,830,12,16,12,3222,2860,2524,250,0,0,4,50,1654,84,0,0,0,0,2244,38,66,0,0,30,50,0,0,0,0,108,0,0,830,200,34,16,80,8,0,12,0,0,0,?,?,7954,1310,226,40,52,26,28,90,0,0,0,0
neg,282250,?,?,?,?,?,0,0,0,136580,6818792,10013600,6541624,363368,1026,0,8953380,0,1572,?,211836,360116,18256802,16171164,6286310,2073384,?,0,0,0,?,?,0,0,0,0,0,0,19618,4519616,19335756,0,43110,7806,19334,50086,123688,23630724,240,2,0,0,7990928,10291484,2650828,1134314,631876,504574,324402,249062,86802,10720,24777224,?,?,?,?,8953380,675962,2954622,3306670,303960,264860,292320,299640,300620,298920,310600,292680,97980,282250.47,24777224,24777224,24841014,69570,?,?,404800,23874990,1209600,?,?,?,?,21266058.24,0,2527449.6,75264,?,0,0,462766,6317106,8238480,7284574,1330930,221382,19592,160,?,?,24777224,?,58148,17360,64724,3181378,2210504,11597054,6548984,196814,24,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,195928,?,?,?,?,?,?,?,?,?,?,?,?,?,1.52,0,2931802,8506272,5607138,862562,1886286,448068,402508,3219398,10956,0,?,?
pos,1055366,?,0,?,0,0,0,0,0,37920,2683752,18918672,32682034,7462038,56238,508,31088700,0,0,0,73250,109676,55680254,48751448,12604960,5682600,0,0,490,0,0,0,0,0,0,0,0,6952130,31158978,23055602,674452,0,119076,72792,139084,250700,26696726,34558240,4492,42,10,0,17814566,10176308,4146896,3261320,2792514,3022434,5007778,9875140,4512710,1231496,68371902,2128,1578,2018,666,31088700,823886,8527718,4053470,281480,278680,256880,231980,272640,210060,203420,285180,141380,1055366.78,68371902,68371902,67504716,540092,6154712,91474,488740,61841162,1209600,0,?,?,?,57186447.36,0,4583421.12,0,0,0,2286,617286,7582842,26602872,23785130,2913408,285962,50544,832,?,0,68371902,?,70184,12996,2297076,2243594,12167540,42378592,2637356,33822,2,0,?,?,?,?,?,?,?,?,?,43796,1120,0,0,0,0,0,0,0,0,473792,1297310,224386,0,0,2346498,382418,58377580,13945256,0,0,0,0,951015400,27816.8,33584,4811068,12146190,8784338,3911740,7077804,5436770,4847948,3806092,10020354,998858,0,0
neg,1884,?,30,30,0,0,0,0,0,0,2728,94948,13730,0,0,0,49040,0,0,0,642,1012,104828,96366,17536,5906,0,0,0,0,44,26,0,0,0,0,0,0,2700,92262,16444,0,1080,24,22,56,2798,107426,0,0,0,0,34016,62726,10336,2512,914,710,192,0,0,0,123072,2,4,2,0,49040,1126,8874,8610,?,?,?,?,?,?,?,?,17100,1883.53,123072,123072,127630,427.0,686,12080,122580,111406,1209600,2722,0,18,0,93890.88,0,16440,0,26,0,0,1832,78208,28990,1878,352,146,0,0,16,20,123072,?,1194,24,86,7738,2686,9944,81914,7438,382,0,48,96,93940,52860,0,80,0,0,94846,150,56,0,0,0,0,0,0,0,0,590,42,12,0,0,1446,330,3060,978,87668,178,0,0,883590,103.62,102,18906,15544,3832,1906,4330,7610,10054,49024,200,0,0,0
neg,10952,?,2130706432,90,0,0,0,0,0,0,23542,224622,391254,142172,17624,0,306956,0,0,0,0,0,878250,838190,111636,23080,0,0,0,0,104,30,32332,16094,10862,18806,4990,68124,259066,185628,203312,0,1910,2582,4226,6582,49364,734494,56,0,0,0,284150,345092,91914,40306,20542,11170,6040,0,0,0,990042,52,28,1578,4,306956,5130,73726,37712,?,?,?,?,?,?,?,?,110140,10952.76,990042,990042,982436,3467.0,36,96886,987860,799214,1209600,15000,2,28,0,713698.56,4714.56,79181.76,62,254,0,0,860,45660,262164,338976,123876,25542,2098,38,2,6,990042,?,1344,154,14538,114860,17938,241920,394136,13718,604,2,110,86,637760,359160,0,2,0,8,721972,594,94,0,0,250,4836,0,0,0,0,3266,3352,2092,0,0,7224,1484,5582840,559106,18130,1192,0,0,9952780,436.26,450,87512,98538,265884,287316,34906,11972,4654,2572,4542,1318,0,0
